edad,genero,nivel_educativo,ingresos_mensuales,ocupacion,interes_tema,uso_tecnologia,horas_disponibles,promociones_recibidas,matricula
56,M,Universitario,995.0,Desempleado,2,4,0,1,0
46,M,Universitario,2172.0,Independiente,1,5,17,0,0
32,F,Universitario,797.0,Independiente,4,2,19,1,0
60,F,Postgrado,2034.0,Independiente,5,5,5,1,1
25,M,Universitario,872.0,Empleado,2,2,19,1,0
38,F,Secundaria,539.0,Empleado,1,4,19,0,0
56,M,Secundaria,576.0,Estudiante,3,2,13,1,0
36,F,Universitario,3307.0,Independiente,5,1,9,1,0
40,F,Secundaria,854.0,Independiente,1,2,17,1,0
28,F,Primaria,2053.0,Empleado,3,2,8,1,0
28,F,Técnico,253.0,Empleado,1,5,11,0,0
41,Otro,Universitario,2635.0,Independiente,5,4,9,1,1
53,M,Secundaria,1779.0,Desempleado,4,2,20,1,0
57,F,Universitario,1719.0,Independiente,4,1,18,1,0
41,M,Universitario,1831.0,Estudiante,3,5,5,1,0
20,M,Técnico,1919.0,Independiente,4,4,13,0,0
39,M,Primaria,2147.0,Empleado,5,4,7,1,0
19,F,Secundaria,1021.0,Empleado,3,3,13,0,0
41,Otro,Universitario,974.0,Independiente,1,1,10,1,0
61,M,Universitario,1539.0,Estudiante,2,5,15,1,0
47,M,Universitario,2048.0,Empleado,1,5,19,1,0
55,F,Técnico,1447.0,Empleado,5,1,5,1,0
19,M,Secundaria,2119.0,Empleado,3,4,14,0,0
38,M,Secundaria,1994.0,Independiente,1,2,14,0,0
50,F,Universitario,1326.0,Independiente,3,1,13,0,0
29,F,Secundaria,200.0,Estudiante,4,5,20,0,0
39,Otro,Secundaria,1097.0,Empleado,2,1,11,1,0
61,M,Técnico,2894.0,Independiente,5,4,1,0,0
42,M,Primaria,1772.0,Empleado,1,3,7,1,0
44,F,Secundaria,988.0,Empleado,2,3,18,1,0
59,F,Técnico,1701.0,Estudiante,5,2,13,1,0
45,F,Secundaria,2041.0,Empleado,5,2,4,1,0
33,F,Secundaria,989.0,Empleado,4,4,8,0,0
32,M,Universitario,2488.0,Independiente,3,2,12,0,0
64,F,Universitario,1897.0,Empleado,3,3,8,0,0
61,M,Secundaria,620.0,Desempleado,2,4,13,1,0
20,M,Universitario,2185.0,Empleado,4,4,4,1,0
54,F,Técnico,1172.0,Empleado,5,4,1,0,0
24,M,Técnico,1357.0,Estudiante,4,1,6,1,0
38,M,Universitario,687.0,Empleado,4,2,15,0,0
26,F,Universitario,2005.0,Estudiante,2,5,10,1,0
56,M,Universitario,1381.0,Empleado,3,3,10,1,0
35,F,Secundaria,2039.0,Empleado,4,2,11,1,0
21,M,Primaria,1059.0,Empleado,4,3,12,1,0
42,F,Universitario,968.0,Estudiante,4,2,7,1,0
31,M,Técnico,903.0,Empleado,1,5,15,1,0
26,M,Secundaria,1817.0,Independiente,4,3,20,0,0
43,Otro,Universitario,956.0,Empleado,4,5,0,1,0
19,F,Universitario,1338.0,Estudiante,5,3,12,1,1
37,F,Universitario,1085.0,Estudiante,1,1,10,0,0
45,M,Secundaria,1852.0,Independiente,4,1,3,1,0
64,F,Universitario,200.0,Estudiante,4,3,3,0,0
24,F,Primaria,1698.0,Independiente,2,3,14,0,0
61,F,Primaria,2885.0,Estudiante,2,5,2,1,0
25,F,Universitario,2489.0,Empleado,1,4,18,1,0
64,M,Primaria,1007.0,Desempleado,5,3,20,0,0
52,M,Secundaria,1896.0,Independiente,1,2,1,1,0
31,F,Universitario,1740.0,Empleado,1,2,5,1,0
34,M,Secundaria,2676.0,Empleado,2,2,7,0,0
53,M,Secundaria,200.0,Empleado,2,1,16,1,0
57,F,Secundaria,2390.0,Empleado,5,5,4,1,0
21,F,Técnico,1286.0,Independiente,4,1,1,0,0
19,F,Técnico,905.0,Desempleado,5,2,11,1,0
23,F,Universitario,883.0,Estudiante,4,3,4,0,0
59,F,Universitario,460.0,Estudiante,3,2,9,1,0
21,M,Técnico,1009.0,Estudiante,2,3,8,1,0
46,M,Universitario,636.0,Empleado,3,5,19,0,0
35,M,Secundaria,1644.0,Empleado,3,4,7,1,0
43,M,Secundaria,1972.0,Estudiante,2,3,0,1,0
61,F,Universitario,1295.0,Estudiante,3,1,5,0,0
51,M,Técnico,2700.0,Independiente,1,2,10,1,0
27,M,Postgrado,1061.0,Empleado,4,2,2,0,0
53,M,Técnico,1253.0,Empleado,5,2,14,1,0
31,M,Universitario,1122.0,Independiente,2,3,10,1,0
48,M,Técnico,1979.0,Empleado,1,5,4,1,0
65,M,Técnico,2060.0,Independiente,5,3,15,1,1
32,M,Técnico,1896.0,Estudiante,5,1,20,1,0
25,M,Universitario,1401.0,Independiente,5,2,6,1,0
31,M,Técnico,428.0,Empleado,3,3,5,1,0
40,F,Postgrado,1244.0,Empleado,3,2,8,1,0
57,M,Secundaria,2683.0,Estudiante,3,1,6,1,0
38,M,Secundaria,2311.0,Independiente,3,4,2,0,0
33,F,Técnico,1735.0,Independiente,1,4,10,1,0
62,M,Universitario,1192.0,Independiente,3,4,11,1,0
35,F,Universitario,1489.0,Independiente,2,2,20,1,0
64,F,Secundaria,1196.0,Independiente,5,3,10,1,1
41,M,Universitario,2454.0,Empleado,1,2,1,0,0
43,F,Técnico,829.0,Empleado,3,5,0,1,0
42,M,Universitario,2239.0,Empleado,5,3,1,0,0
62,F,Universitario,1077.0,Desempleado,1,1,13,1,0
58,M,Secundaria,2557.0,Empleado,5,4,12,1,1
46,F,Técnico,1841.0,Empleado,1,3,4,1,0
32,M,Postgrado,900.0,Estudiante,4,3,1,1,0
62,F,Universitario,1253.0,Empleado,1,4,18,1,0
18,F,Técnico,2069.0,Empleado,3,1,16,1,0
42,M,Técnico,1101.0,Empleado,5,2,10,1,0
24,M,Secundaria,1518.0,Independiente,5,2,15,0,0
26,F,Técnico,1090.0,Desempleado,5,3,19,1,1
41,F,Universitario,2907.0,Empleado,2,4,17,1,0
